Latitude (decimal degrees):	51.100
Longitude (decimal degrees):	16.880
Elevation (m):	122
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,14.5,6.21,0.0
20230101:0110,0.0,0.0,14.78,6.34,0.0
20230101:0210,0.0,0.0,15.34,6.14,0.0
20230101:0310,0.0,0.0,15.65,5.66,0.0
20230101:0410,0.0,0.0,15.27,5.17,0.0
20230101:0510,0.0,0.0,14.23,4.83,0.0
20230101:0610,0.0,0.0,13.5,4.48,0.0
20230101:0710,0.0,0.0,13.11,4.9,0.0
20230101:0810,201.77,7.5,13.11,5.1,0.0
20230101:0910,403.27,12.37,13.95,5.38,0.0
20230101:1010,620.43,15.23,14.78,5.38,0.0
20230101:1110,643.89,15.82,15.32,5.24,0.0
20230101:1210,176.52,14.07,15.56,4.9,0.0
20230101:1310,251.65,10.16,15.15,4.41,0.0
20230101:1410,89.91,4.41,14.29,3.86,0.0
20230101:1510,0.0,0.0,13.03,3.59,0.0
20230101:1610,0.0,0.0,12.36,3.72,0.0
20230101:1710,0.0,0.0,11.95,3.66,0.0
20230101:1810,0.0,0.0,11.59,3.66,0.0
20230101:1910,0.0,0.0,11.94,3.66,0.0
20230101:2010,0.0,0.0,11.5,3.79,0.0
20230101:2110,0.0,0.0,10.77,3.79,0.0
20230101:2210,0.0,0.0,10.23,3.79,0.0
20230101:2310,0.0,0.0,9.64,3.66,0.0
20230102:0010,0.0,0.0,9.21,3.72,0.0
20230102:0110,0.0,0.0,8.89,3.59,0.0
20230102:0210,0.0,0.0,8.77,3.59,0.0
20230102:0310,0.0,0.0,8.64,3.86,0.0
20230102:0410,0.0,0.0,8.89,4.07,0.0
20230102:0510,0.0,0.0,9.01,4.21,0.0
20230102:0610,0.0,0.0,9.24,4.28,0.0
20230102:0710,0.0,0.0,9.67,5.17,0.0
20230102:0810,123.1,7.53,10.25,5.79,0.0
20230102:0910,230.31,12.42,10.81,6.14,0.0
20230102:1010,515.99,15.3,11.19,5.1,0.0
20230102:1110,86.95,15.91,11.85,4.97,0.0
20230102:1210,40.38,14.17,12.22,4.9,0.0
20230102:1310,57.48,10.27,12.24,4.55,0.0
20230102:1410,17.43,4.53,11.95,3.79,0.0
20230102:1510,0.0,0.0,11.61,3.45,0.0
20230102:1610,0.0,0.0,11.02,3.52,0.0
20230102:1710,0.0,0.0,10.12,3.66,0.0
20230102:1810,0.0,0.0,10.04,3.93,0.0
20230102:1910,0.0,0.0,9.35,4.34,0.0
20230102:2010,0.0,0.0,9.16,4.34,0.0
20230102:2110,0.0,0.0,9.07,4.14,0.0
20230102:2210,0.0,0.0,9.17,3.86,0.0
20230102:2310,0.0,0.0,9.5,3.66,0.0
20230103:0010,0.0,0.0,9.65,3.45,0.0
20230103:0110,0.0,0.0,10.17,3.86,0.0
20230103:0210,0.0,0.0,10.21,3.45,0.0
20230103:0310,0.0,0.0,9.67,3.31,0.0
20230103:0410,0.0,0.0,8.84,3.66,0.0
20230103:0510,0.0,0.0,8.21,3.72,0.0
20230103:0610,0.0,0.0,7.71,3.79,0.0
20230103:0710,0.0,0.0,7.8,3.72,0.0
20230103:0810,123.74,7.57,8.0,3.66,0.0
20230103:0910,109.39,12.49,8.33,3.79,0.0
20230103:1010,83.35,15.38,8.48,3.72,0.0
20230103:1110,387.73,16.0,8.42,3.59,0.0
20230103:1210,37.62,14.29,8.41,3.59,0.0
20230103:1310,201.19,10.4,8.13,3.52,0.0
20230103:1410,222.33,4.66,7.71,3.31,0.0
20230103:1510,0.0,0.0,6.97,3.31,0.0
20230103:1610,0.0,0.0,6.28,2.9,0.0
20230103:1710,0.0,0.0,5.65,2.55,0.0
20230103:1810,0.0,0.0,5.36,2.34,0.0
20230103:1910,0.0,0.0,4.37,2.0,0.0
20230103:2010,0.0,0.0,3.71,1.86,0.0
20230103:2110,0.0,0.0,3.1,1.72,0.0
20230103:2210,0.0,0.0,3.12,1.52,0.0
20230103:2310,0.0,0.0,3.14,1.59,0.0
20230104:0010,0.0,0.0,2.96,1.72,0.0
20230104:0110,0.0,0.0,3.31,1.72,0.0
20230104:0210,0.0,0.0,2.89,2.21,0.0
20230104:0310,0.0,0.0,3.14,2.48,0.0
20230104:0410,0.0,0.0,3.32,2.83,0.0
20230104:0510,0.0,0.0,3.31,3.24,0.0
20230104:0610,0.0,0.0,2.9,3.66,0.0
20230104:0710,0.0,0.0,2.78,3.86,0.0
20230104:0810,72.32,7.62,3.49,4.21,0.0
20230104:0910,297.5,12.55,4.99,4.9,0.0
20230104:1010,377.96,15.47,6.26,5.52,0.0
20230104:1110,39.46,16.11,6.95,6.0,0.0
20230104:1210,80.66,14.41,6.72,5.93,0.0
20230104:1310,20.19,10.53,6.42,5.79,0.0
20230104:1410,15.6,4.8,6.23,5.86,0.0
20230104:1510,0.0,0.0,6.58,6.0,0.0
20230104:1610,0.0,0.0,7.13,6.07,0.0
20230104:1710,0.0,0.0,7.0,5.93,0.0
20230104:1810,0.0,0.0,7.59,6.07,0.0
20230104:1910,0.0,0.0,8.1,6.28,0.0
20230104:2010,0.0,0.0,8.82,6.48,0.0
20230104:2110,0.0,0.0,9.33,6.48,0.0
20230104:2210,0.0,0.0,9.79,6.28,0.0
20230104:2310,0.0,0.0,9.9,6.28,0.0
20230105:0010,0.0,0.0,9.89,6.9,0.0
20230105:0110,0.0,0.0,10.01,6.9,0.0
20230105:0210,0.0,0.0,9.98,6.9,0.0
20230105:0310,0.0,0.0,9.61,6.97,0.0
20230105:0410,0.0,0.0,9.12,6.83,0.0
20230105:0510,0.0,0.0,8.77,6.76,0.0
20230105:0610,0.0,0.0,8.53,6.76,0.0
20230105:0710,0.0,0.0,8.53,7.24,0.0
20230105:0810,60.25,7.68,8.76,7.45,0.0
20230105:0910,41.29,12.63,9.14,7.45,0.0
20230105:1010,86.08,15.56,9.17,7.93,0.0
20230105:1110,45.88,16.22,9.36,8.55,0.0
20230105:1210,194.39,14.53,9.09,8.62,0.0
20230105:1310,273.1,10.66,8.99,8.76,0.0
20230105:1410,4.59,4.94,8.31,8.69,0.0
20230105:1510,0.0,0.0,7.65,8.21,0.0
20230105:1610,0.0,0.0,7.41,7.93,0.0
20230105:1710,0.0,0.0,7.31,7.79,0.0
20230105:1810,0.0,0.0,6.93,7.52,0.0
20230105:1910,0.0,0.0,6.63,7.1,0.0
20230105:2010,0.0,0.0,6.37,6.55,0.0
20230105:2110,0.0,0.0,5.86,5.93,0.0
20230105:2210,0.0,0.0,5.51,5.59,0.0
20230105:2310,0.0,0.0,5.04,4.97,0.0
20230106:0010,0.0,0.0,4.62,4.48,0.0
20230106:0110,0.0,0.0,4.28,3.93,0.0
20230106:0210,0.0,0.0,4.0,3.03,0.0
20230106:0310,0.0,0.0,3.71,2.14,0.0
20230106:0410,0.0,0.0,3.53,1.24,0.0
20230106:0510,0.0,0.0,3.44,0.48,0.0
20230106:0610,0.0,0.0,2.43,1.31,0.0
20230106:0710,0.0,0.0,2.67,1.66,0.0
20230106:0810,92.18,7.74,2.95,2.21,0.0
20230106:0910,176.94,12.71,3.94,2.69,0.0
20230106:1010,135.14,15.67,4.67,3.17,0.0
20230106:1110,158.74,16.34,5.33,3.17,0.0
20230106:1210,52.3,14.67,6.05,3.31,0.0
20230106:1310,217.27,10.81,6.99,3.45,0.0
20230106:1410,75.41,5.09,7.65,3.31,0.0
20230106:1510,0.0,0.0,8.08,3.52,0.0
20230106:1610,0.0,0.0,8.22,3.93,0.0
20230106:1710,0.0,0.0,8.84,4.48,0.0
20230106:1810,0.0,0.0,9.11,4.76,0.0
20230106:1910,0.0,0.0,9.01,4.41,0.0
20230106:2010,0.0,0.0,8.7,4.55,0.0
20230106:2110,0.0,0.0,8.5,4.62,0.0
20230106:2210,0.0,0.0,8.47,4.41,0.0
20230106:2310,0.0,0.0,8.23,3.72,0.0
20230107:0010,0.0,0.0,8.08,3.03,0.0
20230107:0110,0.0,0.0,7.52,2.41,0.0
20230107:0210,0.0,0.0,7.47,2.28,0.0
20230107:0310,0.0,0.0,7.37,2.28,0.0
